species,type,estimate,se
Greater Roadrunner,intercept,0.47403136910086396,0.4113134876284738
Greater Scaup,intercept,0.23563451980873984,0.7331171363353151
Green-billed Coucal,intercept,1.1096497411083086,0.8228671965398683
Green-capped Tanager,intercept,0.49960916968092683,0.6403557220733821
Green-tailed Towhee,intercept,2.1065896521907024,0.40491239785871996
Green-winged Teal,intercept,0.0646863356910169,0.37670465280801363
Green Jay,intercept,0.24224720825621693,0.6409059414238777
Green Racquet-tail,intercept,0.6161940861652615,0.7851588806051972
Groove-billed Ani,intercept,0.14370229249932653,0.7007631547329729
Gundlach's Hawk,intercept,0.8359495632217108,0.8449211335855592
Hainan Leaf Warbler,intercept,0.30213961354526675,0.5056825774873193
Hairy Woodpecker,intercept,0.9588665925340598,0.2201480174405544
Hammond's Flycatcher,intercept,2.31108666688308,0.4849602530866007
Harris's Hawk,intercept,0.9447047320750668,0.7560896728656626
Hawaiian Coot,intercept,0.29262282821816854,0.3815672221139817
Hawaiian Goose,intercept,0.10025032973696468,0.4225504996691915
Helmeted Curassow,intercept,0.8823251566136503,0.8518550013715327
Henna-hooded Foliage-gleaner,intercept,0.9498983674937773,0.730869178589705
Henslow's Sparrow,intercept,0.24520306397995617,0.41123287784775575
Hepatic Tanager,intercept,0.4255855456232322,0.46568873476694667
Hermit Thrush,intercept,2.4371954838886873,0.2665576954184169
Hermit Warbler,intercept,1.2585036600782373,0.6413079367949287
Himalayan Quail,intercept,0.41978546068254813,0.7973973980728415
Hinde's Pied-Babbler,intercept,0.2752274320554351,0.5358504127344147
Hispaniolan Parakeet,intercept,-0.042651958025397674,0.39215019151730246
Hoary Redpoll,intercept,1.3005943136818827,0.36684974267581805
Honduran Emerald,intercept,0.5256550220186027,0.41097934346066306
Hooded Antpitta,intercept,0.8004052653916351,0.8593711100834742
Hooded Oriole,intercept,0.4893610481064775,0.6384342105479358
Hooded Warbler,intercept,2.0180914133553434,0.29164542435936236
Hook-billed Hermit,intercept,0.2386713968794799,0.7917427961092415
Horned Lark,intercept,1.9796152518843284,0.19336943405262796
Hottentot Buttonquail,intercept,0.8845084706575496,0.8497966980091433
House Finch,intercept,0.8406641161224683,0.10322281041094254
House Sparrow,intercept,1.2221100683710961,0.09305569284886138
House Wren,intercept,1.5569361445259369,0.12763464832575247
Hutton's Vireo,intercept,0.6014133206238483,0.6151888911536889
Iceland Gull,intercept,1.0650794160342114,0.8435974883462927
Imperial Parrot,intercept,1.1972930051969912,0.5666425765976475
Inca Dove,intercept,0.3073687991382408,0.41924492547401937
Indigo-winged Parrot,intercept,0.23314092086885807,0.5886978142245679
Indigo Bunting,intercept,1.8965507983945993,0.12050609447610593
Indigo Macaw,intercept,-0.5111530096226381,0.3840259069124982
Jamaican Blackbird,intercept,1.352714695645937,0.6187254738653017
Java Sparrow,intercept,0.6285985158359046,0.7961449150360395
Javan Cochoa,intercept,0.22364454054024208,0.7975986841784741
Javan Flameback,intercept,0.8789289614587986,0.871905378576208
Javan Green-Magpie,intercept,0.763258734657066,0.7824277845057934
Javan Hawk-Eagle,intercept,0.2311497318475707,0.7210676946524427
Javan Plover,intercept,-0.3080439633385058,0.5752381190940541
Jerdon's Babbler,intercept,0.8798186785965405,0.8603572114863606
Jerdon's Courser,intercept,0.7037205568110959,0.790674914983007
Jocotoco Antpitta,intercept,1.287572871725976,0.5458318605912883
Juniper Titmouse,intercept,1.3531404708431465,0.5298714807326376
Kentucky Warbler,intercept,1.4147897603923067,0.3627571989474596
Knysna Warbler,intercept,1.1719043735327341,0.8109295312726014
Knysna Woodpecker,intercept,0.5853008157952767,0.8047312480157259
La Selle Thrush,intercept,1.182445005596624,0.6957280415594149
Ladder-backed Woodpecker,intercept,-0.05541648120405385,0.33814174899122135
Lapland Longspur,intercept,0.8610635205223437,0.21777922160419802
Lark Bunting,intercept,1.3329976495356872,0.2324869851978279
Lark Sparrow,intercept,1.2285285495575413,0.20249178828053663
Laurel Pigeon,intercept,1.2925791898755759,0.5718496611462567
Lawrence's Goldfinch,intercept,1.210653851798452,0.7749207549389635
Laysan Finch,intercept,1.987091891310309,0.4093070969730106
Lazuli Bunting,intercept,1.5501490505701248,0.2657453917351914
Least Flycatcher,intercept,2.0073065712888005,0.22049818932057313
LeConte's Sparrow,intercept,1.1867649625346717,0.4593529480333678
LeConte's Thrasher,intercept,0.8660523983248594,0.5712502624820689
Lesser Goldfinch,intercept,0.5253714521811266,0.19879624179298117
Lesser Nighthawk,intercept,1.4700310927929212,0.7580461359262621
Lewis's Woodpecker,intercept,-0.3144554812697379,0.39702277815762926
Lincoln's Sparrow,intercept,1.8522634671177536,0.2990784500814013
Little Grebe,intercept,-0.21557612977877494,0.49646922002855226
Loggerhead Shrike,intercept,1.5556784296011252,0.28134425857889567
Long-billed Tailorbird,intercept,0.963947723144809,0.7428512256661993
Long-billed Thrasher,intercept,0.6638581115095391,0.7251205073477708
Long-eared Owl,intercept,-0.31287054504854617,0.6077927293812118
Louisiana Waterthrush,intercept,1.1390688983462085,0.36611803529622167
Lucy's Warbler,intercept,0.4200609212607865,0.41368846718572866
MacGillivray's Warbler,intercept,1.7656594542612472,0.3973796764864598
Madagascar Jacana,intercept,0.42335839387078017,0.7715841733490775
Madagascar Pochard,intercept,-0.4024903724950707,0.44902659030413467
Madagascar Serpent-Eagle,intercept,0.6213930040837927,0.7868780330663638
Magnolia Warbler,intercept,1.7563669613432036,0.3246743335243874
Malayan Peacock-Pheasant,intercept,0.8382405971769681,0.8526764989053591
Malherbe's Parakeet,intercept,1.0074100884183745,0.8312476085407445
Mallee Emuwren,intercept,0.8064832474316829,0.8814809841454891
Mangrove Cuckoo,intercept,0.8949665238413383,0.8442116935886422
Mangrove Hummingbird,intercept,1.4961325968917492,0.7920967032137
Manipur Bush-Quail,intercept,0.5568677646994752,0.7894269490844767
Manx Shearwater,intercept,0.5795130778663768,0.4287799780393465
Mariana Crow,intercept,0.8146398994229459,0.4876575210487553
Mariana Swiftlet,intercept,1.4426270079120296,0.49917664415523677
Marsh Tapaculo,intercept,0.7246907415001889,0.7668977115376617
Marsh Wren,intercept,1.2063308980713012,0.2166534179318679
Marvelous Spatuletail,intercept,0.8580303197838262,0.7269480484394049
Mascarene Petrel,intercept,0.8378806293574169,0.7886926515024973
Maui Parrotbill,intercept,1.7115089225079338,0.6235763872761497
Mauritius Kestrel,intercept,1.262182260738641,0.7630144501905531
McCown's Longspur,intercept,0.8447717236639336,0.6062854799086804
Meadow Pipit,intercept,1.719092594937536,0.5195882430300948
Merlin,intercept,0.34867095070825704,0.3644954459708547
Mew Gull,intercept,0.2831635698153324,0.4587752332831277
Mexican Jay,intercept,0.3574655880056665,0.45988050420038
Mexican Sheartail,intercept,1.2931546804645877,0.6102539189802715
